codigo,pacote,responsavel,story_points,horas_estimadas,sprint_principal,observacao
1.1,Planejamento do projeto,PM,3,12,S1,Escopo inicial e definição do MVP
1.2,Requisitos backlog riscos e baseline,PM+Time,5,20,S1,Documento-base da apresentação 1
1.3,Artefatos da apresentação 1,PM+QA/Docs,3,12,S1,Slides roteiro e demo script
2.1,Wireframes e identidade visual base,Designer/UX,5,20,S1,Telas principais com placeholders
2.2,Engine de jogo: turnos e rodadas,Dev Gameplay,8,32,S2,Fluxo central da partida
2.3,Engine de jogo: sítios artefatos e conselheiros,Dev Gameplay,8,32,S2,Regras de pontuação e progressão
2.4,Interface da partida,Dev Frontend,8,32,S3,Tabuleiro estado jogadores e ações
2.5,Menu setup e tutorial resumido,Dev Frontend,5,20,S1,Navegação inicial da demo
2.6,Persistência local e continuar partida,Dev Frontend,3,12,S2,Autosave por turno
2.7,Ranking local,Dev Frontend,3,12,S3,Histórico simples para demonstração
2.8,Smoke tests e validação de regras,QA/Docs,5,20,S3,Casos principais da demo
3.1,Repositório Git fluxo de branches e issues,PM+Devs,5,20,S1,Base para apresentação 2
3.2,Automação básica de teste e deploy estático,Dev Frontend,5,20,S4,Opcional porém valioso
3.3,Polimento final e documentação pública,Time,8,32,S4,README licença e ajustes finais
